,id,text,result
0,1543261101546020864,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
1,1543261097918087168,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
2,1543261089437302784,"RT @JerasIkehorn: Who else thinks that Chick-fil-A, besides being a xenophobic, homophobic tool for the right; also has shitty food?",Positive
3,1543261087843368961,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
4,1543261085645643777,@MCJayhawk72 @sowegaCat I had a delicious Chick-fil-a biscuit literally this morning.,Positive
5,1543261084722790400,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
6,1543261081791041536,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
7,1543261080494882821,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
8,1543261074912432129,And this is why we don't ever eat at Chick-Fil-A fam. https://t.co/EXtkqCPhVv,Negative
9,1543261068683780108,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
10,1543261067513569285,"RT @JohnnyAkzam: I'm glad I don't eat out at shitty fast food places bc of their shitty food and exploitive business practices, so I don't…",Positive
11,1543261052024094721,RT @CajunBlueAZ1: Hobby Lobby and Chick-fil-A hate the LGBTQ community and oppose reproductive rights. I do not give our business to faith/…,Positive
12,1543261040225316864,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
13,1543261038614831110,Had Chick-fil-A Ice cream two weeks ago. It's flippin good!,Negative
14,1543261037750796288,"RT @KevOnStage: Chick-Fil-A employee: You can’t eat the 8 piece nugget and the spicy  chicken sandwich. 

Me: 

https://t.co/8LUD1owfbr",Negative
15,1543261026048786433,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
16,1543261025184624641,RT @SaycheeseDGTL: Chick-fil-A is named America's favorite restaurant for the 8th year in a row. McDonald’s came in last due to bad custome…,Negative
17,1543261021619511296,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
18,1543261020730363905,RT @nypost: Chick-fil-A is America's favorite restaurant — for the 8th year in a row https://t.co/bV5qcdxRGe https://t.co/AGFFeSbZEx,Negative
19,1543261019069448193,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
20,1543261018364813312,"RT @KevOnStage: Chick-Fil-A employee: You can’t eat the 8 piece nugget and the spicy  chicken sandwich. 

Me: 

https://t.co/8LUD1owfbr",Negative
21,1543261018180157448,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
22,1543261013843361792,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
23,1543261008483024898,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
24,1543261003688853506,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
25,1543261002875248641,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
26,1543260999372967939,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
27,1543260987565957122,"RT @ACTBrigitte: Chick-fil-A was named America's favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive
28,1543260986919923714,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,Positive
29,1543260983702994944,"RT @MattHasTweets_: I trust Chick-fil-A so much that I don’t even check my bag and if they get my order wrong, I just assume they know what…",Negative
30,1543260983388508160,RT @SaeedDiCaprio: omg??? chick fil a??? https://t.co/aIFp3enKB2,Negative
31,1543260961510809600,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive
