id,text,result,date,token,nb,pol
1543261101546020864,"RT @ACTBrigitte: Chick-fil-A was named America is favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive,2022-07-09 13:19:57.482258,"['chick', 'fil', 'a', 'be', 'name', 'america', 'be', 'favorite', 'restaurant', 'for', 'their', '8th', 'consecutive', 'year', 'once', 'again', 'prove', 'the', 'american', 'people']",Positive,Positive
1543261097918087168,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,neutral,2022-07-09 13:19:57.514544,"['i', 'do', 'not', 'eat', 'at', 'chick', 'fil', 'a', 'i', 'do', 'not', 'shop', 'at', 'hobby', 'lobby', 'ever']",Positive,neutral
1543261089437302784,"RT @JerasIkehorn: Who else thinks that Chick-fil-A, besides being a xenophobic, homophobic tool for the right; also has shitty food?",Positive,2022-07-09 13:19:57.570737,"['who', 'else', 'think', 'that', 'chick', 'fil', 'a', 'besides', 'be', 'a', 'xenophobia', 'homophobic', 'tool', 'for', 'the', 'right', 'also', 'have', 'shift', 'food']",Positive,Positive
1543261087843368961,"RT @ACTBrigitte: Chick-fil-A was named America is favorite restaurant for their 8th consecutive year.

Once again proving the American peopl…",Positive,2022-07-09 13:19:57.602214,"['chick', 'fil', 'a', 'be', 'name', 'america', 'be', 'favorite', 'restaurant', 'for', 'their', '8th', 'consecutive', 'year', 'once', 'again', 'prove', 'the', 'american', 'people']",Positive,Positive
1543261085645643777,@MCJayhawk72 @sowegaCat I had a delicious Chick-fil-a biscuit literally this morning.,Positive,2022-07-09 13:19:57.632647,"['i', 'have', 'a', 'delicious', 'chick', 'fil', 'a', 'biscuit', 'literally', 'this', 'morning']",Positive,Positive
1543261084722790400,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive,2022-07-09 13:19:57.664191,"['if', 'you', 'even', 'for', 'one', 'minute', 'think', 'about', 'shopping', 'at', 'hobby', 'lobby', 'or', 'eat', 'at', 'chick', 'fil', 'a', 'i', 'don', 't', 'care', 'how', 'good', 'it', 'taste', 'fu']",Positive,Positive
1543261081791041536,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive,2022-07-09 13:19:57.702208,"['if', 'you', 'even', 'for', 'one', 'minute', 'think', 'about', 'shopping', 'at', 'hobby', 'lobby', 'or', 'eat', 'at', 'chick', 'fil', 'a', 'i', 'don', 't', 'care', 'how', 'good', 'it', 'taste', 'fu']",Positive,Positive
1543261080494882821,RT @LarryFinesGhost: I do not eat at Chick-fil-A. I do not shop at Hobby Lobby. 🤷‍♂️ Ever.,neutral,2022-07-09 13:19:57.734081,"['i', 'do', 'not', 'eat', 'at', 'chick', 'fil', 'a', 'i', 'do', 'not', 'shop', 'at', 'hobby', 'lobby', 'ever']",Positive,neutral
1543261074912432129,And this is why we do not ever eat at Chick-Fil-A fam. https://t.co/EXtkqCPhVv,neutral,2022-07-09 13:19:57.876034,"['and', 'this', 'be', 'why', 'we', 'do', 'not', 'ever', 'eat', 'at', 'chick', 'fil', 'a', 'fam', 'http', 't', 'co', 'extkqcphvv']",Positive,neutral
1543261068683780108,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive,2022-07-09 13:19:57.907571,"['if', 'you', 'even', 'for', 'one', 'minute', 'think', 'about', 'shopping', 'at', 'hobby', 'lobby', 'or', 'eat', 'at', 'chick', 'fil', 'a', 'i', 'don', 't', 'care', 'how', 'good', 'it', 'taste', 'fu']",Positive,Positive
1543261067513569285,"RT @JohnnyAkzam: I am glad I do not eat out at shitty fast food places bc of their shitty food and exploitive business practices, so I do not…",Positive,2022-07-09 13:19:58.045294,"['i', 'be', 'glad', 'i', 'do', 'not', 'eat', 'out', 'at', 'shift', 'fast', 'food', 'place', 'bc', 'of', 'their', 'shift', 'food', 'and', 'explosive', 'business', 'practice', 'so', 'i', 'do', 'not']",Positive,Positive
1543261052024094721,RT @CajunBlueAZ1: Hobby Lobby and Chick-fil-A hate the LGBTQ community and oppose reproductive rights. I do not give our business to faith/…,Negative,2022-07-09 13:19:58.093253,"['hobby', 'lobby', 'and', 'chick', 'fil', 'a', 'hate', 'the', 'lgbtq', 'community', 'and', 'oppose', 'reproductive', 'right', 'i', 'do', 'not', 'give', 'our', 'business', 'to', 'faith']",Positive,Negative
1543261040225316864,RT @sowegaCat: If you even for one minute think about shopping at Hobby Lobby or eating at Chick-fil-a (I don’t care how good it tastes..fu…,Positive,2022-07-09 13:19:58.128585,"['if', 'you', 'even', 'for', 'one', 'minute', 'think', 'about', 'shopping', 'at', 'hobby', 'lobby', 'or', 'eat', 'at', 'chick', 'fil', 'a', 'i', 'don', 't', 'care', 'how', 'good', 'it', 'taste', 'fu']",Positive,Positive
